# Hackett, A Tibetan Verb Lexicon — per-verb Wilson class + stem transcription
# Facts with citation (Snow Lion; licensing note in HACKETT_VERB_LEXICON.md).
# Vision transcription 2026-08-14 (page-by-page agents, never-guess: unclear = ⟨?⟩).
# PARTIAL COVERAGE — transcribed book pages: 58-71 (11 rows salvaged), 86-105, 114-127, 142-179.
# NOT YET TRANSCRIBED (scan resists current zoom; queued for crop re-pass): pp. 31-57, 72-85, 106-113, 128-141.
# qc: cc0-corroborated = transcribed past stem folds to this present in our CC0 verb bank;
#     cc0-disagrees:X = it folds to X instead (REVIEW before use); unclear-transcription = ⟨?⟩ fields.
# book_page	head_wylie	wilson_class	stems_as_printed	hon	sanskrit	gloss_short	qc
152	'dzing~2	V	'dzings;'dzing;'dzings			to struggle	cc0-corroborated
152	'dzin	V	bzung;gzung;gzungs		BCA grāhya	to apprehend	cc0-corroborated
154	'dzugs	V	btsugs;gtsugs;tsugs		prati-√sthā	to touch	cc0-corroborated
154	'drog⟨?⟩	V	btrog⟨?⟩;gtrog⟨?⟩;drog⟨?⟩		ā-√vṛj	to incite	unclear-transcription
154	'dzegs	VI	'dzegs;'dzeg;'dzegs			to climb (up)	
154	'dzem	VI	'dzems;'dzem;'dzems			to avoid	
155	rdzun	II	brdzun;brdzun		BCA mṛṣā	to be wrong	cc0-corroborated
155	rdzogs	III	rdzogs;rdzogs;rdzogs			to be fulfilled	
156	zha	II	zha;zha			to be crippled	
156	zhi	III	zhi;zhi;zhi			to stop	
156	zhu~1	III	zhu;zhu			to melt	
156	zhu~2	V	zhus;zhu;zhus			to petition	cc0-corroborated
156	zhum	II	zhum;zhum			to be discouraged	
156	zhen	II	zhen;zhen;zhen			to adhere	
157	zhon	V	bzhon;bzhon;zhon			to mount	cc0-corroborated
157	gzhig	VI	gzhigs;gzhig;gzhigs			to examine	cc0-corroborated
157	gzhol	VI	gzhol;gzhol;gzhol			to be absorbed (in)	
157	bzhu	V	bzhus;bzhu;bzhus			to cause to melt	
157	bzhugs	II	bzhugs;bzhugs		ni-√sad	to dwell	
157	bzhengs	V	bzhengs;bzhengs;bzhengs			to raise	
157	bzhed	V	bzhed;bzhed;bzhed			to assert	
158	za~1	V	zos;(bzas);bza';zo		pari-√bhuj	to eat	
158	za~2	III	za;za			to itch	
158	za~3	III	bzas;za			to arise	cc0-corroborated
158	za~4	V				to waste	
158	zag	III	zags;zag			to cause to fall	
158	zin	IV	zin;zin			to be conjoined with	
159	zum	III	zum;zum			to (cause to) close	
159	zer~1	V	zer;zer			to say	
159	zer~2	VIII	zer;zer			to call	
159	zlo	V	bzlas;bzla;zlos			to recite	cc0-corroborated
159	zlog	V	bzlog;bzlog;zlog		ni-√vṛ	to turn away (from)	cc0-corroborated
159	gzar	V	gzar;gzar;gzar			to throw (over)	
159	gzas	V	gzas;gzas;gzas			to set about (to)	
159	gzigs	V	gzigs;gzigs;gzigs			to perceive	
160	gzir	V	gzir;gzir;gzir			to oppress	
160	gzo	V	gzo;gzo;gzo			to repay	
160	bzo	V	bzos;bzo;bzos			to make	
160	bzod	II	bzod;bzod			to be patient	
161	'ong	III	'ongs;'ong;'ongs		√uc	to come	cc0-corroborated
161	'os	III	'os;'os			to be appropriate	
162	yar	III	yar;yar			to be dispersed	
162	yal	III	yal;yal			to disappear	
162	yin	I	yin;yin;yin			to be	
162	yeng	II	yengs;yeng;yengs			to be distracted	cc0-corroborated
162	yod~1	II	yod;yod;yod			to exist	
163	yod~2	VIII	yod;yod;yod			to have	
163	g.yeng	III	g.yengs;g.yeng			to be distracted	cc0-corroborated
163	g.yel	II	g.yel;g.yel			to forget	
163	g.yo~1	III	g.yos;g.yo			to stir	cc0-corroborated
163	g.yo~2	V	g.yos;g.yo;g.yos			to cause to shake	cc0-corroborated
163	g.yog	V	g.yogs;g.yog;g.yogs			to cover	cc0-corroborated
164	rang	III	rangs;rang			to rejoice	cc0-corroborated
164	rig	III	rig;rig;rig			to know	
164	rigs	III	rigs;rigs;rigs			to be suitable	
164	rung	III	rung;rung		√yuj	to be suitable	
165	reg	III	reg;reg			to touch	
165	rol	V	rol;rol			to dance	
165	rlog	V	brlags;brlag;rlogs			to destroy	
165	rlon	V	brlan;brlan;rlon			to moisten	cc0-corroborated
165	rlob	V	brlabs;brlab;rlobs			to influence	cc0-corroborated
165	rlom	II	brlams;brlam		√mān	to be conceited	cc0-corroborated
165	brlag	II	brlags;brlag			to be destroyed	
166	lags	I	lags;lags			to be	
166	lang~1	III	longs;lang			to be complete	
166	lang~2	IV	langs;lang;longs		ud-√stha	to arise	
166	lad	II	lad;lad			to be corrupted	
166	las	V	las;las;los			to do	
166	lus	II	lus;lus			to remain behind	
167	len	V	blangs;blang;long;(longs)		ni-√yuj	to take (up)	cc0-corroborated
168	log	III	log;log			to turn away (from)	
168	long	II	longs;long			to be blind	
168	lon	III	lon;lon			to take up	
168	lobs	III	lobs;lobs			to be trained (in)	
169	shug	VI	bshugs;bshug;shugs			to exchange	
169	shub	V	bshubs;bshub;(bshub);shubs		√jap	to whisper	
169	shes	V	shes;shes;shes			to understand	
170	shog	III				may it be that	
170	gshegs	III	gshegs;gshegs;gshegs	hon	√car	to go	
170	gshog	V	bshags;gshag;gshogs		√bhid	to cut into pieces	
170	gshom	V	bshams;bsham;shoms			to arrange	cc0-corroborated
170	bshu	V	bshus;bshu;shus			to peel	
171	sad	V	sad;sad;sad			to activate	
171	sim	II	sims;sim			to satisfy	cc0-corroborated
171	sun	II	bsun;bsun;sun			to condemn	cc0-corroborated
171	seng	III	sengs;seng			to raise	cc0-corroborated
171	sems	VI	bsams;bsam;soms		vi-√cint	to reflect (on)	cc0-corroborated
172	sel	V	bsal;bsal;sel;(sol)			to dispel	cc0-corroborated
172	song	III	song;song			to become	
173	son	III	son;son			to arrive	
173	sos	II	sos;sos			to be cured	
173	srab	V	bsrabs;bsrab;srobs			to diminish	cc0-corroborated
173	sring	V	bsrings;bsring;srings			to extend	cc0-corroborated
173	srid	II	srid;srid			to occur	
173	srung	V	bsrungs;bsrung;srungs		√rakṣ	to guard	cc0-corroborated
173	srun	V	bsrun;bsrun;srun			to pacify	cc0-corroborated
173	sre	IV	bsres;bsre;sres			to mix	cc0-corroborated
174	sreg	V	bsregs;bsreg;sregs			to scorch	cc0-corroborated
174	sred	III	sred;sred;sred			to crave	
174	srel	V	bsrel;bsrel;srel			to maintain	cc0-corroborated
174	sla~1	III	sla;sla			to be easy	
174	sla~2	V	bslas;bsla;slos			to combine	cc0-corroborated
174	slang	III	slangs;slang			to sing	cc0-corroborated
174	slad	V	bslad;bslad;slad			to adulterate	
175	slu	V	bslus;bslu;slus		√vañc	to be evitable	cc0-corroborated
175	sleb	III	slebs;sleb			to reach	cc0-corroborated
175	slong	V	bslangs;bslang;slongs			to seek (after)	
175	slob	V	bslabs;bslab;slobs			to train	cc0-corroborated
175	gsan	V	gsan;gsan;gson			to listen	
176	gsal	II	gsal;gsal			to brighten	
176	gsil	V	gsil;gsil;gsil			to break up	
176	gsung~1	V	gsungs;gsung;gsungs			to say	cc0-corroborated
177	gsung~2	VIII	gsungs;gsung;gsungs			to call	cc0-corroborated
177	gso	V	gsos;gso;gsos			to relieve	
177	gsog	V	bsags;bsag;sog		sam-√bhṛi	to accumulate	cc0-corroborated
177	gsod	V	bsad;gsad;sod			to kill	cc0-corroborated
178	gson	V	gsan;gsan;gson			to waste	
178	gsor~1	V	bsar;bsar;gsor			to brandish	cc0-corroborated
178	gsor~2	V	gsor;gsor;gsor			to speak (of)	
178	gsol	V	gsol;gsol;gsol			to petition	
178	gsos	V	bsos;bso;gsos			to recover	
178	bsil	V	bsil;bsil		pra-√kṣal	to cool	
178	bsu	V	bsus;bsu;bsus		prati-ud-√gam	to go to meet	cc0-corroborated
179	lhag	IV	lhag;lhag;lhag			to be superior (to)	
179	lhung	III	lhungs;lhung;lhungs			to fall (into)	cc0-corroborated
179	lhod	V	lhod;lhod;lhod			to loosen	
